Chromosome	WT	WT	WT	WT	WT	WT	WT	WT	ssd1	ssd1	ssd1	ssd1	ssd1	ssd1	ssd1	ssd1	ttest	
Eupl.	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	#DIV/0!	
1	89.55008045	96.03214269	96.03303414	95.1558965					94.33409285	92.98772065	89.39477629	93.62434818					0.548504403	1
2	82.09302326	83.06010929	85.04300654	84.21724451					82.00960784	82.51884444	85.88862201	82.46283906					0.529268693	2
3	96.07848184	94.82801218	97.26743772	96.9412911					95.79337268	93.60647666	92.68360007	94.9874686					0.117494422	3
4	71.42857143	68.75	67.16245886	72.30045517					41.2371134	44.82758621	42.90256261	44.97262844					0.000375896	4
5	88.17289959	83.62872142	80.37104306	86.41944401					76.1135576	74.76841063	81.55019917	82.48989591					0.133688509	5
6																	#DIV/0!	6
7	79.06976744	78.40909091	80.21978022	80.55530097	78.13723342				66.66666667	71.42857143	72.72727273	72.4211938	72.70369481				0.002276528	7
8	93.23706946	91.72447124	88.7945127	94.86965363	89.68861816	92.57302269			88.73908151	83.70998235	85.9487193	83.98499052	89.9033759	90.71165188			0.039697114	8
9	100.2142382	93.98123288	97.27073202	91.50062224	95.44828267	95.64318204			96.45380654	82.75326426	96.86190967	89.50794003	92.0402984	89.64986993			0.034699712	9
10	88.50923727	88.78354037	87.32747563	86.43183069					82.15917628	84.77967973	84.87407776	86.64830624					0.106523038	10
11	92.03089493	93.67523146	94.20644167	92.71474552					82.0287439	78.4897287	79.56151579	78.80036765					0.001431876	11
12	89.47368421	78.94736842	83.83838384	85.86956522	88.23529412	88.0952381	81.18811881		60.82474227	60.63829787	62.3655914	54.34782609	50	54.54545455	62.76595745		9.70E-05	12
13	76.69902913	72.27722772	84.375	76.2031647	74.31452542	75.62293048	68.60666982	71.04941762	64	63.63636364	63.2183908	60.99383499	53.11164376	68.08643772	64.66400431	63.60108398	0.001097368	13
14	84.61538462	71.875	83.14606742	78.11965899	78.52669698				83.69565217	78.40909091	77.17391304	80.16906838	76.70959407				0.990959832	14
15	59.124322	67.17233481	69.79166667	70.63083732	62.6679675				37.26394184	39.01292413	43.67816092	44.86321029	41.91284191				6.04E-05	15
16	70.21276596	73.33333333	63	72.22222222	66.33663366													
